Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
19,Male,Save,Sometimes,Rarely,Save it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
18,Male,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
18,Male,Spend,"No, I don't track it",Frequently,Spend it,"No, i don't have a budget",No motivates,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
19,Male,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
19,Female,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
19,Male,Spend,Sometimes,Frequently,Spend it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
19,Male,Others,"No, I don't track it",Always,Spend it,"No, i don't have a budget",Nothing ,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
19,Male,Save,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
34,Male,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
17,Male,Save,Sometimes,Rarely,Invest it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,other
20,Female,Spend,"Yes, monthly",Rarely,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
20,Male,Spend,Sometimes,Frequently,Spend it,"Yes, I follow it strictly",Buying a home,Not comfortable,"Yes, but it's vague",Somewhat confident,other
18,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
19,Female,Pay bills,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
20,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
21,Male,Save,Sometimes,Frequently,Pay off debt,"Yes, I follow it strictly",Buying a home,Not comfortable,"Yes, I have a detailed plan",Very confident,Saving more
22,Male,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
23,Male,Others,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",No money,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,other
18,Male,Save,"Yes, daily",Always,Invest it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Very confident,Saving more
22,Male,Spend,Sometimes,Always,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
19,Male,Save,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
69,Male,Spend,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,other
19,Male,Save,"Yes, daily",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
18,Male,Save,"Yes, daily",Rarely,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
22,Female,Pay bills,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
19,Male,Save,"Yes, daily",Rarely,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
18,Male,Save,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
18,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
18,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, I have a detailed plan",Not confident at all,other
18,Female,Others,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,other
18,Female,Others,"No, I don't track it",Never,Spend it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
18,Male,Pay bills,"Yes, daily",Rarely,Spend it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
30,Female,Spend,"No, I don't track it",Always,Spend it,"No, i don't have a budget",Travel,Very comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
18,Male,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
19,Male,Save,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
23,Male,Pay bills,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
19,Male,Pay bills,Sometimes,Rarely,Pay off debt,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
18,Male,Save,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
20,Male,Save,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
25,Male,Spend,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, but it's vague",Not confident at all,Spending less
21,Male,Save,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Build New things ,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
19,Male,Spend,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
21,Male,Spend,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
19,Male,Pay bills,"Yes, daily",Rarely,Invest it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, but it's vague",Very confident,Investing regularly
19,Male,Save,"No, I don't track it",Rarely,Invest it,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
47,Female,Save,"No, I don't track it",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Other
26,Male,Save,Sometimes,Frequently,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
36,Male,Save,Sometimes,Never,Donate it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
42,Male,Pay bills,"Yes, monthly",Rarely,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Very confident,Investing regularly
53,Female,Spend,Sometimes,Never,Spend it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
